ReportingNode,Metric,UBF,Percentile,Const,X.Coeff
LA20,Wet_BFL_Mag_10,UBF50,p10,0.36991,NA
LA20,Wet_BFL_Mag_10,UBF0,p50,0,NA
LA20,Wet_BFL_Mag_10,UBF100,p50,5.83469,NA
LA20,Wet_BFL_Mag_10,UBF50,p50,3.1669,NA
LA20,Wet_BFL_Mag_10,UBF0,p90,0,NA
LA20,Wet_BFL_Mag_10,UBF100,p90,10.61221,NA
LA20,Wet_BFL_Mag_10,UBF50,p90,5.59773,NA
LA20_2,DS_Mag_50,UBF0,p10,-1.25E-04,0.513876704
LA20_2,DS_Mag_50,UBF100,p10,1.815616667,0.519689233
LA20_2,DS_Mag_50,UBF50,p10,0.948933333,0.521129145
LA20_2,DS_Mag_50,UBF0,p50,0.002733333,0.542519604
LA20_2,DS_Mag_50,UBF100,p50,5.087658333,0.534812164
LA20_2,DS_Mag_50,UBF50,p50,2.592645833,0.547709126
LA20_2,DS_Mag_50,UBF0,p90,-0.0047375,0.584322771
LA20_2,DS_Mag_50,UBF100,p90,8.117025,0.580649178
LA20_2,DS_Mag_50,UBF50,p90,4.294695833,0.57498042
LA20_2,Wet_BFL_Mag_10,UBF0,p10,-5.83E-06,0.145346367
LA20_2,Wet_BFL_Mag_10,UBF100,p10,1.828201667,0.407757298
LA20_2,Wet_BFL_Mag_10,UBF50,p10,1.494975,0.277663796
LA20_2,Wet_BFL_Mag_10,UBF0,p50,0.1738525,0.457943398
LA20_2,Wet_BFL_Mag_10,UBF100,p50,6.6104325,0.410846153
LA20_2,Wet_BFL_Mag_10,UBF50,p50,3.42063,0.447651127
LA20_2,Wet_BFL_Mag_10,UBF0,p90,0.067743333,0.538104822
LA20_2,Wet_BFL_Mag_10,UBF100,p90,12.33947083,0.513839749
LA20_2,Wet_BFL_Mag_10,UBF50,p90,6.24219,0.513303864
LA3,DS_Mag_50,UBF0,p10,3.075233333,0.901405241
LA3,DS_Mag_50,UBF100,p10,46.79517917,1.042687165
LA3,DS_Mag_50,UBF50,p10,25.05909583,1.040012596
LA3,DS_Mag_50,UBF0,p50,3.145716667,0.98395374
LA3,DS_Mag_50,UBF100,p50,59.96059167,0.956985728
LA3,DS_Mag_50,UBF50,p50,31.400025,0.968148662
LA3,DS_Mag_50,UBF0,p90,3.374066667,1.096772517
LA3,DS_Mag_50,UBF100,p90,75.7452,0.952707456
LA3,DS_Mag_50,UBF50,p90,39.556075,0.964219439
LA3,Wet_BFL_Mag_10,UBF0,p10,3.183428333,0.8571592
LA3,Wet_BFL_Mag_10,UBF100,p10,47.49228083,0.937927289
LA3,Wet_BFL_Mag_10,UBF50,p10,25.95855583,0.898929986
LA3,Wet_BFL_Mag_10,UBF0,p50,3.572595,0.964739136
LA3,Wet_BFL_Mag_10,UBF100,p50,58.46104083,0.973711737
LA3,Wet_BFL_Mag_10,UBF50,p50,32.39902333,0.957037411
LA3,Wet_BFL_Mag_10,UBF0,p90,5.7195825,0.973521175
LA3,Wet_BFL_Mag_10,UBF100,p90,76.851375,1.007554206
LA3,Wet_BFL_Mag_10,UBF50,p90,40.58397417,0.997026821
LA8,DS_Mag_50,UBF0,p10,3.057025,0.896364706
LA8,DS_Mag_50,UBF100,p10,30.05895,0.94919033
LA8,DS_Mag_50,UBF50,p10,16.7204625,0.932926876
LA8,DS_Mag_50,UBF0,p50,3.1217625,0.98115916
LA8,DS_Mag_50,UBF100,p50,31.1370875,1.019089346
LA8,DS_Mag_50,UBF50,p50,17.98511667,0.973742137
LA8,DS_Mag_50,UBF0,p90,3.267441667,1.093362021
LA8,DS_Mag_50,UBF100,p90,37.59924167,0.952874618
LA8,DS_Mag_50,UBF50,p90,20.37110417,1.007086011
LA8,Wet_BFL_Mag_10,UBF0,p10,3.061306667,0.85220692
LA8,Wet_BFL_Mag_10,UBF100,p10,25.76847417,0.892690507
LA8,Wet_BFL_Mag_10,UBF50,p10,14.7007375,0.873011702
LA8,Wet_BFL_Mag_10,UBF0,p50,3.518124167,0.949074777
LA8,Wet_BFL_Mag_10,UBF100,p50,35.18869333,0.943473969
LA8,Wet_BFL_Mag_10,UBF50,p50,19.79871333,0.943139384
LA8,Wet_BFL_Mag_10,UBF0,p90,4.126330833,0.977142093
LA8,Wet_BFL_Mag_10,UBF100,p90,44.84001417,0.992434213
LA8,Wet_BFL_Mag_10,UBF50,p90,25.3409675,0.993837366
