"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","ReportingNode","Scenario"
"2015",252,197,0.02,0.04,NA,NA,NA,0.555956678700361,41,48.5329,156,132,0,0.02,24,NA,NA,NA,NA,NA,NA,10065.53222,347.1336,6295.31982,NA,NA,NA,"F45B",0
"2016",294,170,0.02,0.06,NA,NA,NA,0.25,70,84.1975,100,17,0.01684,0.02,83,NA,NA,NA,NA,NA,NA,10065.53222,347.1336,6295.31982,NA,NA,NA,"F45B",0
"2017",312,152,0.03,0.10765,3,37.8634355897038,50,0.395486388915992,35,14075.93,117,19,0.06684,7.4832,98,113,113,113,1,4,1,10065.53222,347.1336,6295.31982,1,3,1,"F45B",0
"2011",NA,273,NA,NA,2,314.116931867712,3,0.0505005766752388,99,12168.895,174,128,113.63365,150.0542,46,170,124.5,170,1,2,1,9769.91326,4058.0969,8135.95766,1,2,1,"F57C",0
"2012",178,223,89.3842,93.61576,1,2352.33936564605,4,0.0517832762909351,24,3039.0935,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9769.91326,4058.0969,8135.95766,NA,NA,NA,"F57C",0
"2013",200,301,95.5455,103.28311,3,414.446916797427,10,0.0127364032179248,80,1015.5878,221,186,99.8067,117.68035,35,NA,NA,NA,NA,NA,NA,9769.91326,4058.0969,8135.95766,NA,NA,NA,"F57C",0
"2014",202,212,87.0751,92.2981,2,212.056264026789,8,0.015142470943426,58,7997.4199,154,19,101.31608,105.878,135,NA,150,NA,NA,1,NA,9769.91326,4058.0969,8135.95766,NA,1,NA,"F57C",0
"2015",193,238,82.274,94.4272,4,658.340712627536,31,0.0386262080630145,9,789.2803,229,181,79.2311,91.3904,48,NA,72,NA,NA,1,NA,9769.91326,4058.0969,8135.95766,NA,1,NA,"F57C",0
"2016",203,229,73.877,80.3204,2,337.253044113013,4,0.0299216014378235,34,408.3821,195,130,74.66053,81.94085,65,NA,NA,NA,NA,NA,NA,9769.91326,4058.0969,8135.95766,NA,NA,NA,"F57C",0
"2017",196,236,75.45695,82.72695,3,350.017012493218,16,0.0182054067367437,93,8170.5921,143,77,89.0166,118.895,66,NA,113,139,NA,3,1,9769.91326,4058.0969,8135.95766,NA,3,1,"F57C",0
"2011",NA,274,NA,NA,1,275.893172385951,3,0.0516356465205763,100,11595.3362,174,128,110.42645,146.7207,46,170,124.5,170,1,2,1,9249.15782,3674.5249,7631.21036,1,2,1,"GLEN",0
"2012",178,223,86.41935,90.68226,1,2082.490526988,4,0.0534479357473008,24,2886.8348,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9249.15782,3674.5249,7631.21036,NA,NA,NA,"GLEN",0
"2013",201,300,92.4088,100.0682,3,288.816439524691,10,0.0129544177169149,79,936.5279,221,186,96.38245,114.4984,35,NA,NA,NA,NA,NA,NA,9249.15782,3674.5249,7631.21036,NA,NA,NA,"GLEN",0
"2014",63,351,79.4484,83.9313,2,207.379055488505,8,0.0141039185176935,197,7415.8962,154,19,98.14228,102.7042,135,NA,150,NA,NA,1,NA,9249.15782,3674.5249,7631.21036,NA,1,NA,"GLEN",0
"2015",194,237,79.38555,91.47702,4,575.482416309444,31,0.0521712702661632,8,642.8831,229,181,76.1609,88.2136,48,NA,72,NA,NA,1,NA,9249.15782,3674.5249,7631.21036,NA,1,NA,"GLEN",0
"2016",203,229,70.863,77.1786,2,275.457544675102,4,0.031076042905769,34,374.7532,195,130,71.41563,78.6889,65,NA,NA,NA,NA,NA,NA,9249.15782,3674.5249,7631.21036,NA,NA,NA,"GLEN",0
"2017",271,161,74.2617,83.4185,3,331.454279990404,16,0.0224539820097614,18,7685.0389,143,77,85.7717,115.72,66,NA,113,139,NA,3,1,9249.15782,3674.5249,7631.21036,NA,3,1,"GLEN",0
