p10,p25,p50,p75,p90,metric,comid,result_type,source2,ReportingNode,Scenario
10.84917,15.2621675,23.258035,26.7932625,33.544945,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP0_UBF100
7.0747,9.73348,14.89128,16.083995,19.37654,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP0_UBF50
66.973585,69.6917525,74.38759,76.70886,77.31128,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP100_UBF0
76.94517,81.676775,94.4109,100.937935,107.474015,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP100_UBF100
72.681245,77.239525,86.66441,88.999395,93.38527,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP100_UBF50
35.0006,36.655155,39.35394,40.082205,40.51332,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP50_UBF0
44.284215,48.9348375,60.948135,63.6072375,68.612335,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP50_UBF100
40.153135,43.6409575,51.472955,52.1794275,55.28616,Wet_BFL_Mag_10,22515824,observed,SUSTAIN_Junction_25,F57C,Baseline_WRP50_UBF50
0.08465,0.1131,0.163075,0.1930625,0.34235,DS_Mag_50,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP0_UBF0
10.037075,11.72955,14.140325,14.4253375,18.7391,DS_Mag_50,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP0_UBF100
5.9588,7.3401625,7.735675,8.10445,9.9284,DS_Mag_50,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP0_UBF50
60.743325,62.731275,66.50475,71.83845,73.10385,DS_Mag_50,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP100_UBF0
72.56175,75.5420375,79.416275,84.67595,89.41335,DS_Mag_50,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP100_UBF100
66.337925,67.88785,73.818,78.6599,81.0349,DS_Mag_50,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP100_UBF50
30.4735,31.390025,33.2264,36.0787625,37.158075,DS_Mag_50,22515824,observed,SUSTAIN_Junction_23,GLEN,Baseline_WRP50_UBF0
