scenario,dry_season,wet_season,spring
367,53.14754552,57.96566842,53.91248139
368,43.03339139,48.53388159,44.04297298
369,34.65204791,39.80973996,35.64332678
370,40.06533418,46.22603781,41.26158113
371,51.57770307,54.974683,52.00578189
372,52.7847063,57.34866684,53.48665641
373,47.12782456,49.00296063,47.21332639
374,51.54078753,57.71122311,52.64874766
375,19.81947839,21.30362363,20.02609303
376,22.55023026,26.86113959,23.43139122
377,28.81864752,32.72865787,29.55078014
378,19.73659644,21.84594798,20.09631181
379,57.35281461,62.62078554,58.19454206
380,14.14344277,16.93090253,14.71533971
381,33.26138529,38.96957004,34.39972067
382,41.16331327,43.14215287,41.32282771
383,13.76822573,17.8289265,14.65574688
384,35.01513384,38.86439891,35.68373582
385,39.71491441,41.69184792,39.88633834
386,2.21531194,2.692038504,2.31458186
387,39.81745051,44.38993381,40.62645682
388,25.48719267,31.73568652,26.81887887
389,9.630468032,11.15109176,9.928203887
390,29.46439469,31.83949419,29.8122755
391,29.98549538,32.37957045,30.33613142
392,9.264494605,10.22767764,9.42762265
393,47.46004784,50.53370958,47.83832321
394,34.18506308,37.23472334,34.66213298
395,15.41681587,16.92103993,15.66408236
396,36.14847933,39.93128929,36.79273463
397,53.34724762,56.10904608,53.60457875
398,50.01187067,54.3993269,50.69326726
399,26.37434653,30.09871969,27.07857601
400,39.05369166,44.18280308,40.00489689
401,45.80419272,47.39937809,45.83253168
402,35.86766105,41.73789747,37.02552329
403,15.55099013,18.82743563,16.23068031
404,23.91707508,29.62891313,25.13122605
405,27.49991691,30.98714489,28.13874666
406,27.19646641,31.5543043,28.05268933
407,27.20108354,32.18087008,28.20772431
408,35.39238916,38.98960577,35.99482052
409,55.94218393,61.64693082,56.90153586
410,17.02191738,19.75052215,17.55694655
411,23.62592567,28.8987944,24.73449439
412,14.00624125,15.86101671,14.34857241
413,55.02675188,59.00669725,55.56760785
414,45.91998647,47.14187313,45.85535128
415,47.01176472,51.49200188,47.73856701
416,25.70267896,27.80182065,26.01321301
417,27.62218384,30.91598964,28.21308681
418,22.82795934,24.75102685,23.12006224
419,33.12186669,39.01437012,34.3058798
420,21.58505315,22.64689433,21.67507251
421,52.41281947,55.20706491,52.68470886
422,34.28159652,38.02424134,34.92997618
423,40.38531395,43.24617734,40.76951437
424,51.05250998,55.20057539,51.66604
425,38.49967635,40.29611339,38.63640279
426,4.100924738,4.944692224,4.274941216
427,15.8082918,18.52481122,16.34773834
428,27.32244299,31.25183733,28.07088818
429,34.1181059,38.8988231,35.021323
430,49.88869013,54.18583296,50.54775076
431,24.60208194,30.19930164,25.78282239
432,39.69527824,41.73158615,39.88207261
433,12.99138943,14.97833205,13.37379007
434,40.6838256,44.77409229,41.36698053
435,43.95547241,47.20360907,44.40506859
436,40.77331879,42.52797565,40.8814679
437,17.40343477,18.87981317,17.62871407
438,52.14458175,58.43172548,53.27600259
439,20.93262446,22.05007965,21.04046441
440,38.84593219,41.38938434,39.16430345
441,28.39110783,29.46422074,28.4294731
442,35.12850415,39.14069498,35.83691539
443,12.57626301,14.23213935,12.88248441
444,27.37014722,30.36401632,27.88774157
445,53.82835285,57.21764495,54.23672962
446,31.9631287,34.41619791,32.3120847
447,39.92314029,43.94657556,40.59423697
448,27.33127229,32.61315091,28.41318252
449,20.64095675,21.52841212,20.69561761
450,47.79535302,53.06157895,48.71050675
451,48.7372572,49.74824529,48.60088793
452,26.70578478,33.16529241,28.080109
453,37.43060787,42.60201051,38.40644837
454,37.48352488,41.09903138,38.07493671
455,54.13549057,57.25712327,54.47229412
456,40.94355176,45.07443383,41.63272369
457,9.201885434,11.28814955,9.641446973
458,18.8191745,22.41523946,19.55248094
459,48.90531157,51.05687473,49.04635969
460,32.81522618,35.64346875,33.24943564
461,38.88988465,43.84424089,39.79805564
462,39.82940811,43.50231111,40.41513355
463,46.97653967,50.43915636,47.45451406
464,10.22556788,12.72244702,10.75771254
465,11.82536495,14.13630645,12.29913008
466,22.52636293,27.32246903,23.52543914
467,20.21713585,23.43854331,20.84685768
468,42.04730896,42.96170694,41.93899378
469,35.94051318,38.96251942,36.39787923
470,41.5497535,47.02035391,42.56403463
471,50.07211309,55.9870114,51.12751816
472,34.4186793,40.47958488,35.63327461
473,25.93256856,27.49812173,26.11104616
474,24.14524495,26.81412193,24.6075863
475,34.56847063,37.4600868,35.00500593
476,39.98787362,45.19837916,40.94975538
477,51.17307745,56.01141129,51.95672696
478,51.65216709,55.40051957,52.16562596
479,11.88070606,13.47248704,12.17658317
480,25.42886297,29.46811976,26.2208406
481,17.25413104,21.76014142,18.2231632
482,47.23198243,48.66371918,47.20878187
483,54.34167681,59.20579797,55.10580207
484,37.54289977,40.06982561,37.8670477
485,44.63873571,46.10830376,44.64474898
486,43.86666394,45.68687772,43.9653369
487,7.958802093,9.959485528,8.384600763
488,35.76328107,36.45621927,35.64987427
489,40.71862943,42.00271093,40.71023609
490,56.26420248,60.45499323,56.84791871
491,22.43409298,25.14086283,22.92143962
492,33.18488096,34.60654653,33.27076917
493,35.89337337,38.13056328,36.15677471
494,31.78096899,33.52046868,31.95487595
495,38.70202419,40.60108195,38.86291315
496,32.60947134,34.45840214,32.80457616
497,40.82353823,42.79648443,40.9856031
498,49.26403684,51.70111309,49.47223528
499,26.16559608,30.28540216,26.97084982
500,45.08633547,50.19330434,45.9843876
