"Year","DS_Dur_WS","DS_Tim","DS_Mag_50","DS_Mag_90","FA_Dur","FA_Mag","FA_Tim","SP_ROC","SP_Dur","SP_Mag","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_10","Peak_2","Peak_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","ReportingNode","Scenario"
"2011",NA,240,NA,NA,1,204.867802774597,3,0.522628098659516,66,12088.3958,174,113,3.72098,5.7059,61,170,124.5,170,1,2,1,9841.24958,4235.8745,8311.71516,1,2,1,"LA8","Aggressive_non_Infiltration_WRP0_UBF0"
"2012",178,223,3.32945,4.61931,3,2479.59078687465,4,0.274592174005757,24,2946.7818,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9841.24958,4235.8745,8311.71516,NA,NA,NA,"LA8","Aggressive_non_Infiltration_WRP0_UBF0"
"2013",271,232,3.1942,4.7199,4,460.787232566703,10,0.0132895040805194,11,941.1009,221,186,3.06035,3.535,35,NA,NA,NA,NA,NA,NA,9841.24958,4235.8745,8311.71516,NA,NA,NA,"LA8","Aggressive_non_Infiltration_WRP0_UBF0"
"2014",224,193,3.1346,3.39989,3,105.646854269006,8,0.0527278195726581,39,8185.9674,154,17,3.45544,3.5641,137,NA,150,NA,NA,1,NA,9841.24958,4235.8745,8311.71516,NA,1,NA,"LA8","Aggressive_non_Infiltration_WRP0_UBF0"
"2015",194,238,3.05995,3.83334,2,601.707212799194,31,0.00609857147592065,9,803.3282,229,178,3.07574,3.41085,51,NA,72,NA,NA,1,NA,9841.24958,4235.8745,8311.71516,NA,1,NA,"LA8","Aggressive_non_Infiltration_WRP0_UBF0"
"2016",205,230,3.0224,4.0319,4,270.384735863055,4,0.0407616331470432,35,330.6765,195,129,3.2254,3.3618,66,NA,NA,NA,NA,NA,NA,9841.24958,4235.8745,8311.71516,NA,NA,NA,"LA8","Aggressive_non_Infiltration_WRP0_UBF0"
"2017",207,228,3.1704,4.41912,3,276.012619434422,16,0.0476518052265639,85,8343.1521,143,74,4.53398,9.51485,69,NA,113,139,NA,3,1,9841.24958,4235.8745,8311.71516,NA,3,1,"LA8","Aggressive_non_Infiltration_WRP0_UBF0"
"2011",NA,240,NA,NA,1,214.600651902714,3,0.522628098659516,66,13322.9894,174,128,3.94199,7.52085,46,170,124.5,170,1,2,1,11053.38932,5239.6643,9517.57988,1,2,1,"F34D","Aggressive_non_Infiltration_WRP0_UBF0"
"2012",186,222,3.3348,4.85175,3,3239.19812469374,4,0.280187735034317,23,3329.6762,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11053.38932,5239.6643,9517.57988,NA,NA,NA,"F34D","Aggressive_non_Infiltration_WRP0_UBF0"
"2013",271,232,3.195,5.9953,4,726.189971226926,10,0.012567791381158,11,1143.7479,221,179,3.06018,3.8347,42,NA,NA,NA,NA,NA,NA,11053.38932,5239.6643,9517.57988,NA,NA,NA,"F34D","Aggressive_non_Infiltration_WRP0_UBF0"
"2014",224,193,3.1348,3.41627,3,111.526062418732,8,0.0539051971641179,39,9426.609,154,17,3.45544,3.5641,137,NA,150,NA,NA,1,NA,11053.38932,5239.6643,9517.57988,NA,1,NA,"F34D","Aggressive_non_Infiltration_WRP0_UBF0"
