"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22515824,"observed","SWMM
","F57C"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22515824,"observed","SWMM
","F57C"
1,1,1,1,1,"Peak_Dur_10",22515824,"observed","SWMM
","F57C"
1,1,1.5,2.25,2.7,"Peak_Dur_2",22515824,"observed","SWMM
","F57C"
1,1,1,1,1,"Peak_Dur_5",22515824,"observed","SWMM
","F57C"
9769.91326,9769.91326,9769.91326,9769.91326,9769.91326,"Peak_10",22515824,"observed","SWMM
","F57C"
4058.0969,4058.0969,4058.0969,4058.0969,4058.0969,"Peak_2",22515824,"observed","SWMM
","F57C"
8135.95766,8135.95766,8135.95766,8135.95766,8135.95766,"Peak_5",22515824,"observed","SWMM
","F57C"
1,1,1,1,1,"Peak_Fre_10",22515824,"observed","SWMM
","F57C"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22515824,"observed","SWMM
","F57C"
1,1,1,1,1,"Peak_Fre_5",22515824,"observed","SWMM
","F57C"
120.5,182,197.5,202.5,237,"DS_Dur_WS",22515824,"observed","SWMM
","GLEN"
198.2,226,237,287,320.4,"DS_Tim",22515824,"observed","SWMM
","GLEN"
72.56235,75.5426625,79.416975,84.6766125,89.414075,"DS_Mag_50",22515824,"observed","SWMM
","GLEN"
80.29855,83.5467,87.30678,91.27833,95.77261,"DS_Mag_90",22515824,"observed","SWMM
","GLEN"
1,1.5,2,3,3.4,"FA_Dur",22515824,"observed","SWMM
","GLEN"
248.226149000463,275.675358530527,288.816439524691,453.468348149924,1178.28566058087,"FA_Mag",22515824,"observed","SWMM
","GLEN"
3.6,4,8,13,22,"FA_Tim",22515824,"observed","SWMM
","GLEN"
0.0136441181973821,0.0182789502637275,0.031076042905769,0.0519034583933698,0.0526819364586183,"SP_ROC",22515824,"observed","SWMM
","GLEN"
14,21,34,89.5,138.8,"SP_Dur",22515824,"observed","SWMM
","GLEN"
535.63114,789.7055,2886.8348,7550.46755,9249.15782,"SP_Mag",22515824,"observed","SWMM
","GLEN"
149.6,164,195,210,224.2,"SP_Tim",22515824,"observed","SWMM
","GLEN"
48,89.75,129,168.25,183.5,"Wet_BFL_Dur",22515824,"observed","SWMM
","GLEN"
