"p10","p25","p50","p75","p90","metric","comid","result_type","source2","ReportingNode","Scenario"
170,170,170,170,170,"Peak_Tim_10",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Dur_10",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1.5,2.25,2.7,"Peak_Dur_2",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Dur_5",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
8442.82452,8442.82452,8442.82452,8442.82452,8442.82452,"Peak_10",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
3163.4862,3163.4862,3163.4862,3163.4862,3163.4862,"Peak_2",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
6960.03154,6960.03154,6960.03154,6960.03154,6960.03154,"Peak_5",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Fre_10",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1.5,2.25,2.7,"Peak_Fre_2",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Fre_5",22514960,"observed","SUSTAIN_Junction_21","LA14","Aggressive_non_Infiltration_WRP0_UBF0"
186.5,197,207.5,219.5,247.5,"DS_Dur_WS",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
210.4,224.5,230,234.5,238.8,"DS_Tim",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
-0.050275,-0.003125,0.089275,0.1406125,0.2527,"DS_Mag_50",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
0.427595000000001,0.624672500000002,0.805105,1.2311925,1.5003,"DS_Mag_90",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
1.6,2,3,3.5,4,"FA_Dur",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
132.61288635759,157.21372796752,190.555140462657,339.038371333226,1011.381307179,"FA_Mag",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
3.6,4,8,13,22,"FA_Tim",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
0.128076211152468,0.298444924634767,0.498022643660031,0.799468105401639,0.872520532772925,"SP_ROC",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
17.8,29,39,74.5,83.4,"SP_Dur",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
557.76938,1096.03595,2662.6336,7226.3526,8857.3517,"SP_Mag",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
149.6,154.5,174,197,207.8,"SP_Tim",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
45,81,109,125,157.5,"Wet_BFL_Dur",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
-0.08653,0.00522500000000001,0.1972,0.27375,0.69259,"Wet_BFL_Mag_10",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
0.2292,0.3359125,0.371125,1.854025,3.7922,"Wet_BFL_Mag_50",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
42.5,52.75,63.5,69,103.5,"Wet_Tim",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
170,170,170,170,170,"Peak_Tim_10",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
84.3,102.75,118.75,130.875,142.35,"Peak_Tim_2",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
142.1,146.75,154.5,162.25,166.9,"Peak_Tim_5",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Dur_10",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1.5,2.25,2.7,"Peak_Dur_2",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
1,1,1,1,1,"Peak_Dur_5",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
8857.3517,8857.3517,8857.3517,8857.3517,8857.3517,"Peak_10",22514960,"observed","SUSTAIN_Junction_22","LA13","Aggressive_non_Infiltration_WRP0_UBF0"
